"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04612","Antigen processing and presentation",57,0.829058009434988,2.84776981695929,1e-10,2.91666666666667e-09,2.1140350877193e-09,1058,"tags=56%, list=7%, signal=52%","3108/3109/3113/4261/6890/6891/972/5721/3119/10437/5720/3111/3133/3115/3105/5993/3117/3106/6892/3107/55080/1520/3122/3112/567/3123/2923/3134/3127/1514/3120/7124"
"hsa03010","Ribosome",167,-0.578804440326844,-2.63954863951015,1e-10,2.91666666666667e-09,2.1140350877193e-09,3478,"tags=56%, list=22%, signal=44%","23107/63875/64979/51258/128308/2197/6141/6150/64928/6233/122704/6208/6143/6187/65993/6223/51116/6205/6202/3921/9553/51318/6227/6209/51642/6155/25873/6142/51065/7311/4736/6124/6224/6193/64963/11224/6181/6132/6207/6136/10399/6201/6122/9045/6235/6188/6167/6125/6139/6134/6210/6234/6170/6135/6191/6137/51263/6156/6231/116832/6176/6222/6194/6147/6144/6159/6157/23521/6129/6161/6204/6154/6229/6133/6169/6171/6206/6228/6175/6189/6152/6168/6173/6146/6218/6164/6138/6160/6232/6130/6128/6165/6230/9349"
"hsa05150","Staphylococcus aureus infection",50,0.763487542821982,2.5490917012362,1e-10,2.91666666666667e-09,2.1140350877193e-09,1036,"tags=58%, list=7%, signal=54%","3108/3109/3113/720/3119/3111/3115/718/3117/713/714/717/2214/721/2209/3383/3122/2358/3112/715/3123/712/716/3683/3127/3075/629/3120/2215"
"hsa05320","Autoimmune thyroid disease",27,0.865439810017617,2.54139865448743,1e-10,2.91666666666667e-09,2.1140350877193e-09,1027,"tags=81%, list=7%, signal=76%","3108/3109/3113/958/3119/3111/3133/355/3115/3105/3117/3106/3107/3122/942/3112/3123/1493/3134/3127/941/3120"
"hsa05164","Influenza A",136,0.647116038120141,2.51799427818497,1e-10,2.91666666666667e-09,2.1140350877193e-09,2477,"tags=54%, list=16%, signal=46%","3108/3109/3113/10241/4261/3717/3119/8743/578/3111/355/3115/5371/3117/9641/6773/3455/4615/3383/3122/6772/3841/3112/3123/7098/51284/834/7099/3627/103/3665/3127/64135/6352/841/5579/4793/60/91543/3120/8717/7124/148022/10379/842/55916/5293/90865/4792/10898/3569/3592/5970/29110/7187/836/6347/1965/3716/3661/8503/4790/4939/8517/4938/3576/4940/23586/7706/9021/4599/51135/5610/3460"
"hsa04672","Intestinal immune network for IgA production",35,0.816808475047569,2.51316990878725,1e-10,2.91666666666667e-09,2.1140350877193e-09,1027,"tags=60%, list=7%, signal=56%","3108/3109/3113/3601/958/3119/3111/3115/3600/3117/7040/3122/942/3112/3123/3127/4055/10673/941/3695/3120"
"hsa05322","Systemic lupus erythematosus",74,0.701773869746681,2.51115343974111,1e-10,2.91666666666667e-09,2.1140350877193e-09,1619,"tags=51%, list=10%, signal=46%","3108/3109/3113/720/958/3119/3111/3115/718/3117/713/714/717/2214/721/2209/3122/942/3112/715/8349/3123/6737/712/716/3127/6741/941/3120/2215/7124/440689/3017/85236/92815/102724334/8334/554313"
"hsa05332","Graft-versus-host disease",27,0.85379768919052,2.50721110052598,1e-10,2.91666666666667e-09,2.1140350877193e-09,1058,"tags=78%, list=7%, signal=73%","3108/3109/3113/3119/3111/3133/355/3115/3105/3117/3106/3107/3122/942/3112/3123/3134/3127/941/3120/7124"
"hsa05168","Herpes simplex virus 1 infection",155,0.631621016733085,2.48885984843823,1e-10,2.91666666666667e-09,2.1140350877193e-09,2408,"tags=52%, list=16%, signal=45%","3108/3109/3113/6890/6891/972/8764/3717/3119/578/3111/3133/355/3115/718/3105/5371/3117/9641/6773/3455/3106/6892/3107/4615/55080/3122/115004/6772/3112/567/3123/7098/7186/2923/3134/3665/3127/64135/598/6352/841/3120/8717/330/7124/148022/6714/10379/5819/842/5293/4792/3569/3592/5970/29110/7187/836/6347/1965/4049/1616/3716/3661/8503/3054/4790/6672/4939/8517/6009/684/4938/4940/23586/7097/3135/9021/51135/5610"
"hsa05169","Epstein-Barr virus infection",178,0.595705140172052,2.37965087946844,1e-10,2.91666666666667e-09,2.1140350877193e-09,2629,"tags=51%, list=17%, signal=42%","3108/3109/3113/6890/958/695/6891/10018/3119/578/3111/3133/355/3115/3105/3117/9641/6773/3455/3106/6892/3107/4615/55080/3383/3122/6772/4067/5971/3112/567/3123/29760/7186/2923/9541/3627/3134/6774/3665/3683/3127/4616/3718/841/1026/8737/4794/4791/4793/3120/8717/7124/7128/10379/842/5293/4792/3569/5701/5970/51426/29110/7187/836/10912/595/3716/1027/3661/8503/4790/5600/4939/8517/2208/4938/4940/23586/5700/7097/10213/3135/51135/5610/7431/9636/4193/7157/5717"
"hsa04621","NOD-like receptor signaling pathway",152,0.590667310963271,2.32028733084878,1e-10,2.91666666666667e-09,2.1140350877193e-09,2412,"tags=44%, list=16%, signal=38%","64127/2634/9447/115361/115362/10628/10616/5027/114769/2635/2633/79792/837/9641/6773/3455/8767/4615/6772/3428/7186/10010/834/7099/3665/4210/388646/598/6352/841/8737/838/10392/4793/330/7124/148022/7128/7295/10379/55072/10135/4792/3569/5970/29110/7187/1536/6347/84674/51393/3716/3661/4790/5600/11337/4939/8517/4938/3576/4940/5586/10059/9474/7417/51135/2919"
"hsa05152","Tuberculosis",150,0.567473758193436,2.22931571228554,1e-10,2.91666666666667e-09,2.1140350877193e-09,1901,"tags=37%, list=12%, signal=32%","64127/3108/3109/3113/4261/972/3717/817/3119/843/3111/3115/718/5993/3117/8767/2214/4615/2209/7040/1520/3122/6772/3112/3123/7099/64581/3127/5533/1051/10312/841/2207/7879/7096/3120/2215/8717/7124/3587/6714/1379/842/10892/3313/3569/3592/51606/5970/3916/836/3716/4790/5600/1263"
